CODICE_VIA;DENOMINAZIONE;UBICAZIONE;NUMERO_DELIBERAZIONE;DATA_DELIBERAZIONE;GIUNTA;NOTE_DENOMINAZIONE
092009_000470;VIA ISCHIA;VIALE POETTO - VIA LUNGO SALINE;1149;21/02/1964;G.M.;ISOLA VULCANICA E MONTUOSA DEL MAR TIRRENO, NEL GOLFO DI NAPOLI. LA MAGGIORE DELLE ISOLE PARTENOPEE.;
092009_000471;PIAZZA ISLANDA;VIA COSTANTINOPOLI - VIA STOCCOLMA;276;27/01/1984;G.M.;ISOLA DI ORIGINE VULCANICA NELL'ATLANTICO SETTENTRIONALE.;
092009_000472;PIAZZA IS MAGLIAS;VIA IS MAGLIAS - PIAZZA S.MICHELE;131;29/01/1980;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000473;VIA IS MAGLIAS;PIAZZA S.MICHELE - VIALE MERELLO;131;29/01/1980;G.M.;.;
092009_000474;VIA ISOLA PIANA;VIA DEI CAVALLEGGERI - CHIUSO;249;23/02/1978;G.M.;;
092009_000475;VIA ISOLA SAN PIETRO;VIALE POETTO - VIA LUNGO SALINE;249;23/02/1978;G.M.;ISOLA A SUD/OVEST DELLA SARDEGNA, IN PROVINCIA DI CAGLIARI.;
092009_000476;VIA ISONZO;VIA S.AVENDRACE - VIA S.GILLA;219;03/12/1925;C.P.;FIUME DELLA VENEZIA GIULIA. Km.138.LOCALITA' DI BATTAGLIE NELLA GUERRA 1915/18.;
092009_000477;VIA ISTRIA;VIA LIGURIA - VIA BASILICATA;219;03/12/1925;C.P.;PENISOLA FRA IL GOLFO DI VENEZIA ED IL CARNARO. GIA' PROVINCIA AUTONOMA DELL'AUTRIA.;
092009_000478;PIAZZA ITALIA;VIA RIVA VILLASANTA - VIA ITALIA;;;;STATO DELL'EUROPA MERIDIONALE.;
092009_000479;VIA ITALIA;PIAZZA ITALIA - (Confine Comune  MONSERRATO);;;;;
092009_000480;VIA EDWARD JENNER;VIA CADELLO - (Nuovo Ospedale);850;27/03/1971;G.M.;SCIENZIATO, SCOPRI' L'INNESTO DEL VAIOLO.(NATO NEL 1749 - MORTO NEL 1823).;
092009_000481;PIAZZA JOHN FITZGERALD KENNEDY;VIA ROMAGNA - VIA PIEMONTE;4799;16/11/1964;G.M.;GIA' PIAZZA PIRRI. PRESIDENTE DEGLI STATI UNITI. ASSASSINATO IL 22/11/1963.;
092009_000482;VIA JOHANNES KEPLERO;VIA PARIGI - (zona in sviluppo);276;27/01/1984;G.M.;MATEMATICO E ASTRONOMO. CON LE SUE SCOPERTE RESE POSSIBILE CALCOLARE LE POSIZIONI PLANETARIE.(NATO NEL 1571 - MORTO NEL 1630).;
092009_000483;VIA ROBERT KOCH;VIA JENNER - VIA GUZZONI DEGLI ANCARANI;2160;27/05/1987;G.M.;MICROBIOLOGO PRUSSIANO.SCOPRI' IL BACILLO DELLA TUBERCOLOSI. PREMIO NOBEL NEL 1905.(NATO NEL 1842 - MORTO NEL 1910).;
092009_000484;PORTICO LACONI;VIA LAMARMORA - VIA DEI GENOVESI;;;;VENNE ESEGUITO DURANTE LA COSTRUZIONE DEL PALAZZO LACONI. SOSTITUI' UNA TRAVERSA DI COMUNICAZIONE TRA VIA DEI GENOVESI E VIA LAMARMORA.;
092009_000485;VIA RENZO LACONI;VIA PAOLO DI DORIA - (zona in sviluppo);249;23/02/1978;G.M.;UOMO POLITICO ANTIFASCISTA. (NATO A SANT'ANTIOCO IL 13/1/1916 - MORTO A CATANIA IL 19/6/1967).;
092009_000486;VIA LAGHI MASURI;VIA BOSCO CAPPUCCIO - PIAZZA S.MICHELE;276;27/01/1984;G.M.;LOCALITA' POLACCA IN CUI SI COMBATTE' NELLA PRIMA GUERRA MONDIALE.;
092009_000487;VIA GIUSEPPE LUIGI LAGRANGE;VIA MARCONI - (strada ferrata);850;27/03/1971;G.M.;MATEMATICO ED ASTRONOMO TORINESE.(NATO A TORINO NEL 1736 - MORTO NEL 1813).;
092009_000488;VIA ENRICO LAI;VIA COCCO ORTU - VIA PAIS;730;21/03/1958;G.M.;AVVOCATO, SCRITTORE, DEPUTATO. (NATO A CAGLIARI NEL 1842 - MORTO NEL 1892).;
092009_000489;VIA LEVANTE;VIA LIBECCIO - VIA GRECALE;2365;21/09/1961;G.M.;VENTO CHE SPIRA DA LEVANTE.;
092009_000490;PIAZZA ALBERTO LAMARMORA;VIA LAMARMORA - VIA CANELLES;;;;GIA' PIAZZETTA DEL TEATRO.;
092009_000491;PORTICO ALBERTO LAMARMORA;VIA LAMARMORA - VIA DEI GENOVESI;129;15/12/1900;G.M.;GIA' PORTICO DEL CRISTO.;
092009_000492;VIA ALBERTO LAMARMORA;PIAZZA LAMARMORA - PIAZZA INDIPENDENZA;;;;GIA' RUGA MERCATORUM. GIA' CONTRADA DELLA PURISSIMA (ultimo tratto). GIA' VIA DRITTA. GIA' VIA DEGLI ARGENTARI. LUOGOTENENTE GENERALE BIELLESE E VALENTE SCIENZIATO. AUTORE DI UN VIAGGIO IN SARDEGNA. (NATO NEL 1789 - MORTO NEL 1863).;
092009_000493;VIA LAMPEDUSA;VIALE POETTO - VIA AUSONIA;1149;21/02/1964;G.M.;GIA' XI TRAVERSA POETTO.LA MAGGIORE DELLE ISOLE PELAGIE E LA PIU' MERIDIONALE DELLE ISOLE ITALIANE , NEL CANALE DI SICILIA.;
092009_000494;VIA DELLE LANGHE;PIAZZA DEI CASTELLANI - VIA DELLA SILA;2666;13/09/1971;G.M.;REGIONE COLLINARE DEL PIEMONTE, TRA IL TANARO E LA BORMIDA. ALTITUDINE MEDIA 550 m.;
092009_000495;VIA TIRANA;VIA MOSCA - (chiuso);276;27/01/1984;G.M.;CAPITALE DELL'ALBANIA.;
092009_000496;VIA LANUSEI;PIAZZA COSTITUZIONE - VIA XX SETTEMBRE;129;15/12/1900;G.M.;GIA' VIA DELLA BOTANICA. COMUNE DELLA SARDEGNA IN PROVINCIA DI NUORO. (AB. LANUSEINI);
092009_000497;VIALE LA PLAIA;VIA SASSARI - (canale industriale);;;;DENOMINAZIONE TRADIZIONALE.;
092009_000498;VIA LA SOMME;VIA PODGORA - VIA ARDENNE;276;27/01/1984;G.M.;FIUME FRANCESE, TEATRO DI BATTAGLIA.;
092009_000499;VIA LA VEGA;VIALE S.VINCENZO - PIAZZA J.F. KENNEDY;;;;DENOMINAZIONE TRADIZIONALE.;
092009_000500;VIA LAZIO;VIA MOLISE - VIA PIEMONTE;219;03/12/1925;C.P.;REGIONE DELL' ITALIA CENTRALE.;
092009_000501;PIAZZALE LAZZARETTO;VIALE BORGO S.ELIA - VIA SCHIAVAZZI;83;27/12/1956;C.C.;DEDICATO ALL'ANTICO LAZZARETTO DELLA CITTA'.;
092009_000502;VIA LEGNANO;VIA RIVA VILLASANTA - VIA SANTA MARIA CHIARA;;;;LOCALITA' IN CUI AVVENNE LA FAMOSA BATTAGLIA DETTA DEL CARROCCIO.;
092009_000503;VIA DEL LENTISCO;VIA DUCA DI GENOVA - VIA DELLE SPIGHE;850;27/03/1971;G.M.;ALBERO SEMPREVERDE.;
092009_000504;VIA PIETRO LEO;VIA SCANO - COLLE MONTE URPINU;2365;21/09/1961;G.M.;MEDICO, FU IN SARDEGNA IL PRIMO APPLICATORE DEL VACCINO DI JENNER. (ARBUS: 2 APRILE 1766 - PARIGI: 8 MAGGIO 1805).;
092009_000505;VIA LEONARDO DA VINCI;VIA ALFIERI - VIA PACINOTTI;35;17/07/1950;C.C.;PITTORE, ARCHITETTO E SCULTORE. (NATO PRESSO EMPOLI NEL 1452 - MORTO IN FRANCIA NEL 1519).;
092009_000506;VIA RUGGERO LEONCAVALLO;VIA CANEPA - VIA PRAGA;83;27/12/1956;C.C.;MAESTRO COMPOSITORE DI NAPOLI.(NATO NEL 1858 - MORTO NEL 1919).;
092009_000507;VIA GIACOMO LEOPARDI;PIAZZA GALILEI - VIA MANZONI;219;03/12/1925;C.P.;LETTERATO E POETA. (NATO A RECANATI NEL 1798 - MORTO A NAPOLI NEL 1837).;
092009_000508;VIA LEPANTO;VIA ROMA - VIA TORINO;129;15/12/1900;G.M.;GIA' VIA DEI PRETI. L'ANTICA NAUPATTO , CITTA' E PORTO DELLA GRECIA SULL'OMONIMO STRETTO. BATTAGLIA DI LEPANTO COMBATTUTA VITTORIOSAMENTE NEL 1571 DALLA LEGA CRISTIANA CONTRO I TURCHI.LO SCHIERAMENTO CENTRALE DELLE FORZE CRISTIANE ERA AGLI ORDINI DI DON GIOVANNI D'AUSTRIA.;
092009_000509;VIA LIBECCIO;VIALE POETTO - VIA ZEFFIRO;2365;21/09/1961;G.M.;VENTO TIPICO DEL MEDITERRANEO PROVENIENTE DA SUD/OVEST (AFRICA NORD OCCIDENTALE), QUASI SEMPRE A RAFFICHE E CARICO DI UMIDITA'.PUO' SOFFIARE ALL'IMPROVVISO E CON ESTREMA VIOLENZA .(LIBECCIATE);
092009_000510;PIAZZA DEI CARRUBI;VIA TREXENTA - VIA DEL LENTISCO;2160;27/05/1987;G.M.;SPECIE BOTANICA: ALBERO SEMPREVERDE, DELLE LEGUMINOSE.;
092009_000511;PIAZZA GAETANO CASATI;VIALE S. ELIA - PIAZZA PIGAFETTA;2160;27/05/1987;G.M.;ESPLORATORE ITALIANO.( NATO NEL 1838 - MORTO NEL 1902 ).;
092009_000512;VIA LUIGI CASTALDI;VIA KOCH - (campo);2160;27/05/1987;G.M.;MEDICO. (NATO NEL 1890 - MORTO NEL 1945).;
092009_000513;VIA DELLE LIBELLULE;VIA DELLA VITE - VIA TORRICELLI;1706;14/05/1975;G.M.;NOME DATO A DIVERSE SPECIE DI INSETTI DELL'ORDINE DEGLI ODONATI, CARATTERIZZATI DAL CAPO LARGO, MOBILE CON GRANDI OCCHI, ADDOME ALLUNGATO E QUATTRO ALI MEMBRANACEE RICCHE DI NERVATURE.VIVONO IN VICINANZA DELLE ACQUE DOLCI E HANNO LARVE TIPICAMENTE ACQUATICHE.SONO NOTE CIRCA 4.000 SPECIE DIVERSE TRA CUI IN ITALIA E' COMUNE LA ESENA. (AESCHNA CYANEA);
092009_000514;VIA LIGURIA;VIA CAMPANIA - PIAZZA J.F.KENNEDY;219;03/12/1925;C.P.;REGIONE ITALIANA.;
092009_000515;VIA LIMBARA;VIA SEGURANA CATERINA - (chiuso);1217;26/08/1928;D.P.;GRUPPO MONTUOSO SITUATO NELLA SARDEGNA SETTENTRIONALE, NELLA GALLURA, LA CUI CIMA PIU' ALTA E' LA PUNTA BALESTRIERI 1362 m.;
092009_000516;VIA LIONE;VIA DELL'ABBAZIA - VIA DEI VITTORINI;1706;14/05/1975;G.M.;L'ANTICA LUGDUNUM, TERZA CITTA' DELLA FRANCIA ORIENTALE ALLA CONFLUENZA DELLA SAONA COL RODANO.CAPITALE DEL DIPARTIMENTO DEL RODANO, RICCA DI ANTICHE VESTIGIE ROMANE.;
092009_000517;VIA LIPARI;VIALE POETTO - VIA AUSONIA;1149;21/02/1964;G.M.;LA PIU' VASTA DELLE ISOLE EOLIE, NEL TIRRENO, A NORD DELLA SICILIA. VULCANICA, CON NUMEROSI VULCANI SPENTI.CON LE ISOLE DIPENDENTI DI STROMBOLI, PANAREA, VULCANO, ALICUDI E FILICUDI COSTITUISCE L'OMONIMO COMUNE IN PROVINCIA DI MESSINA.;
092009_000518;VIA LISBONA;VIA MARCONI - VIA PARIGI;2303;05/07/1968;G.M.;CAPITALE DEL PORTOGALLO.;
092009_000519;VIA LIVENZA;VIA ISONZO - (chiuso);2303;05/07/1968;G.M.;FIUME DEL FRIULI NELLA PROVINCIA DI UDINE. NASCE DAL MONTE CAVALLO PRESSO UDINE E SI GETTA NELL'ADRIATICO TRA LE FOCI DEL TAGLIAMENTO E DEL PIAVE. LUNGO 112 Km. PER LO PIU' NAVIGABILI.;
092009_000520;VIA DAVID LIVINGSTONE;VIA S.ELIA - PIAZZA GIOVANNI DA VERRAZZANO;2160;27/05/1987;G.M.;ESPLORATORE MISSIONARIO SCOZZESE.(NATO NEL 1813 - MORTO NEL 1873).;
092009_000521;VIA LIVORNO;PIAZZA FIRENZE - VIA DELLA PINETA;1217;26/08/1928;D.P.;CITTA' ITALIANA CAPOLUOGO DI PROVINCIA. UNO DEI PRINCIPALI PORTI ITALIANI.;
092009_000522;VIA CHARLES DARWIN;VIA FLEMING - (muro);493;01/03/1991;G.M.;NATURALISTA INGLESE. AUTORE DELLA TEORIA SULL'EVOLUZIONE DELLASPECIE. (NATO NEL 1809 - MORTO NEL 1882).;
092009_000523;VIA CARSO;VIA VITTORIO VENETO - (chiuso);;;;LOCALITA' DI BATTAGLIA DELLA GUERRA 1915/18.;
092009_000524;VIA BARBAGIA;VIA MANDROLISAI - VIA ABRUZZI;493;01/03/1991;G.M.;REGIONE DELLA SARDEGNA CENTRALE.;
092009_000525;PIAZZA CIMITERO;VIALE CIMITERO - VIALE BONARIA;;;;;
092009_000526;VIA PAOLO DI DORIA;VIA SINI - (zona in sviluppo);1706;14/05/1975;G.M.;;
092009_000527;VIA ISOLA LEVANZO;VIALE POETTO - VIA GALLINARA;1706;14/05/1975;G.M.;ISOLA ITALIANA DELLE EGADI.;
092009_000528;VIA ANTONIO LO FRASSO;VIA GRAZIA DELEDDA - VIA ALGHERO;2365;21/09/1961;G.M.;NOTO SCRITTORE SARDO DEL 500. NATO AD ALGHERO AI PRIMI DEL SECOLO.;
092009_000529;VIA LOGUDORO;VIA SONNINO - VIA DANTE;219;03/12/1925;C.P.;REGIONE MONTANA DELLA SARDEGNA SETTENTRIONALE.FU UNO DEI QUATTRO GIUDICATI IN CUI ERA DIVISA L'ISOLA NEL MEDIOEVO.LA LINGUA LOGUDORESE CONSERVA MOLTISSIMI CARATTERI E FORME LATINE.;
092009_000530;VIA LOMBARDIA;VIA DALMAZIA - VIA TRENTINO;219;03/12/1925;C.P.;REGIONE DELL' ITALIA SETTENTRIONALE.;
092009_000531;VIA LOMELLINA;VIA PIEMONTE  - VIA LA VEGA;1706;14/05/1975;G.M.;GIA' VICO I PIEMONTE.PIANURA ALLUVIONALE DELLA LOCALITA' DEL PIEMONTE.;
092009_000532;VIA LONDRA;VIA PARIGI - VIA PARIGI;2303;05/07/1968;G.M.;CAPITALE DELLA GRAN BRETAGNA.;
092009_000533;VIA LORENZO IL MAGNIFICO;VIA ENRICO TOTI - VIA BALILLA;;;;APPARTENENTE ALLA SIGNORIA DEI MEDICI CHE DOMINAVA FIRENZE NEL MEDIOEVO.;
092009_000534;VIA ANTIOCO LORU;VIA PESSINA - VIA DEGIOANNIS;35;17/07/1950;C.C.;AVVOCATO, SINDACO E DEPUTATO. (NATO NEL 1818 - MORTO NEL 1886).;
092009_000535;VIA DOMENICO LOVISATO;VIA PESSINA - VIA MARINI;327;26/02/1955;G.M.;NATURALISTA.(NATO A ISOLA D'ISTRIA NEL 1842 - MORTO A CAGLIARI NEL 1918).;
092009_000536;VIA LUCANIA;VIA BARIGADU - VIA MEILOGU;2303;05/07/1968;G.M.;GIA' TRAV. BARIGADU. ANTICA REGIONE DELL'ITALIA MERIDIONALE, CORRISPONDENTE ALL'ODIERNA BASILICATA.SI ESTENDE DAL GOLFO DI TARANTO ALLA CAMPANIA.COLONIZZATA NEL VIII SECOLO a.C. DAI CARTAGINESI, OCCUPATA NEL V SECOLO a.C. DAI LUCANI, GENTI DI ORIGINE SANNITA, CHE VINCONO LA LEGA DI SIBARI E CROTONE A LAO NEL 390 / 389 a.C. - NEL 296 a.C. SI ALLEANO AI ROMANI , MA LI ABBANDONANO AL MOMENTO DELLE GUERRE CONTRO PIRRO E ANNIBALE.;
092009_000537;VIA LUCCA;VIA MESSINA - VIA DELLA PINETA;1217;26/08/1928;D.P.;CITTA' ITALIANA CAPOLUOGO DI PROVINCIA.;
092009_000538;VIA DELLE LUCCIOLE;VIA DELLE SIEPI - VIA DEI TIGLI;850;27/03/1971;G.M.;SPECIE DI INSETTI DELL'ORDINE DEI COLEOTTERI DELLA FAMIGLIA DEI LAMPIRIDI , PER LA FACOLTA' CHE POSSEGGONO DI EMETTERE LUCE DALL'ADDOME.IN ITALIA SONO NOTE UNA VENTINA DI SPECIE, TRA CUI LE COMUNI LAMPYRIS NOCTILUCA - LAMPYRIS LUSITANICA E LA LUCCIOLA ITALICA .;
092009_000539;VIA LUNGO SALINE;VIALE POETTO - LUNGOMARE POETTO;327;26/02/1955;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000540;VIA LUNIGIANA;VIA ABRUZZI - VIALE MONASTIR;2785;18/07/1969;G.M.;REGIONE DELLA TOSCANA IN PROVINCIA DI MASSA-CARRARA.ANTICO NOME DEL TERRITORIO SITO FRA LE VALLI DELLA VARA E DELLA MAGRA FINO AL SERCHIO. IL PRIMO POPOLO CHE ABITA QUESTA REGIONE RISALE ALL'ETA' PALEOLITICA; IN SEGUITO VIENE POPOLATA DAGLI ETRUSCHI, AI QUALI SEGUONO I LIGURI-APPUANI; SCACCIATI DAI ROMANI NEL 177 a.C. IL CENTRO PRINCIPALE E' LUNI , ANTICA CITTA' ROMANA DA CUI PRENDE IL NOME.;
092009_000541;PIAZZA LUSSEMBURGO;PIAZZA SVIZZERA - VIA DUBLINO;2303;05/07/1968;G.M.;CITTA' CAPITALE DEL GRANDUCATO OMONIMO.;
092009_000542;PIAZZA EMILIO LUSSU;VIALE BONARIA - VIALE A. DIAZ;276;27/01/1984;G.M.;SCRITTORE. UOMO POLITICO PROMOTORE DELL'AUTONOMIA SARDA. STUDIO' A LANUSEI E A CAGLIARI, DOVE SI LAUREO' IN GIURISPRUDENZA, ESERCITANDO L'AVVOCATURA. UFFICIALE DELLA BRIGATA SASSARI.OPERE: MARCIA SU ROMA E DINTORNI - UN ANNO SULL'ALTIPIANO - TEORIA DELL' INSURREZIONE - LA CATENA - IL CINGHIALE DEL DIAVOLO Ecc.(NATO AD ARMUNGIA (CA) NEL 1890 - MORTO A ROMA NEL 1965);
092009_000543;VIA MACERATA;VIA VENEZIA - VIA CORSICA;1706;14/05/1975;G.M.;GIA' VICO I VENEZIA.CITTA' D' ITALIA CAPOLUOGO DI PROVINCIA, REGIONE MARCHE.;
092009_000544;VIA NICOLO' MACHIAVELLI;VIA PETRARCA - VIALE MARCONI;;;;STATISTA E SCRITTORE FIORENTINO. (NATO A FIRENZE NEL 1469 - MORTO NEL 1527).;
092009_000545;VIA MACOMER;VIA SAN SATURNINO - VIA BOSA;129;15/12/1900;G.M.;CITTA' DELLA SARDEGNA IN PROVINCIA DI NUORO. SITUATO SULL'ALTOPIANO DELLA CAMPEDA, AI PIEDI DELLA CATENA DEL MARGHINE.CAPOLUOGO DELL'ANTICA CURATORIA DEL MARGHINE, NEL 1478 VI SI SVOLSE LA BATTAGLIA TRA SARDI E ARAGONESI CHE METTE FINE ALL'AUTONOMIA E ALLA LIBERTA' DELL'ISOLA.MONUMENTI: PARROCCHIALE GOTICA-ARAGONESE DEL XVI SECOLO.;
092009_000546;VIA MADDALENA;VIA ROMA - CORSO VITTORIO EMANUELE;129;15/12/1900;G.M.;ISOLA DELLO STRETTO DI BONIFACIO, PROVINCIA DI SASSARI.;
092009_000547;VIA MADRID;VIA LISBONA - VIA PARIGI;2303;05/07/1968;G.M.;CAPITALE DELLA SPAGNA.;
092009_000548;VIA MAESTRALE;VIA TRAMONTANA - VIA FAVONIO;2365;21/09/1961;G.M.;VENTO LOCALE DEL BACINO DEL MEDITERRANEO, FORTE, FREDDO E SECCO.SOFFIA DA NORD / OVEST, E' DOVUTO A DEPRESSIONI LOCALIZZATE SUL MEDITERRANEO.;
092009_000549;VIA FERDINANDO MAGELLANO;VIA SCHIAVAZZI - (chiuso);2160;27/05/1987;G.M.;NAVIGATORE PORTOGHESE. (NATO NEL 1440 - MORTO NEL 1521).;
092009_000550;VIA MAGENTA;VIA SILVIO PELLICO - VIA MENTANA;2365;21/09/1961;G.M.;COMUNE DELLA LOMBARDIA IN PROVINCIA DI MILANO, NELLA PIANURA DEL TICINO.NEL CORSO DELLA SECONDA GUERRA D'INDIPENDENZA IL 4 GIUGNO 1859 LE TRUPPE FRANCO-PIEMONTESI COMANDATE DAL GENERALE MACMAHON, SI BATTONO VITTORIOSAMENTE CONTRO GLI AUSTRIACI, CONDOTTI DA GULSAJ.;
092009_000551;TRAVERSA IS MIRRIONIS;VIA IS MIRRIONIS - VIA IS CORNALIAS;;;;;
092009_000552;VIA ANTIOCO MAINAS;VIA DEI DONARATICO - VIA CHIABRERA;4799;16/11/1964;G.M.;PITTORE CAGLIARITANO DEL XVI SEC. DELLA SCUOLA DI STAMPACE. NUMEROSE SUE OPERE SONO CONSERVATE IN MOLTE CHIESE DELLA SARDEGNA.;
092009_000553;VIA DEI MALASPINA;VIA RIVA VILLASANTA - VIA MONTELEONE;;;;ANTICA E NOBILE FAMIGLIA CHE FU SOVRANA DELLA LUNIGIANA.;
092009_000554;VIA MALFIDANO;VIA BARONIA - VIA LA NURRA;83;27/12/1956;C.C.;LOCALITA' DELLA SARDEGNA.;
092009_000555;VIA MARCELLO MALPIGHI;VIA IS GUADAZZONIS - VIA STEFANO  CAGNA;2303;05/07/1968;G.M.;MEDICO BOLOGNESE, SCOPRI' I CAPILLARI SANGUIGNI E I GLOBULI ROSSI. (NATO NEL 1628 - MORTO NEL 1694).;
092009_000556;VIA MALTA;VIA SASSARI - VIA G. MAMELI;;;;ISOLA DEL MEDITERRANEO A SUD DELLA SICILIA.;
092009_000557;VIA DELLA MALVA;VIA BARRACCA MANNA - VIA DELLE AGAVI;850;27/03/1971;G.M.;GENERE DI PIANTA SELVATICA DELLA FAMIGLIA DELLE MALVACEE, TRA CUIMALVA SILVESTRIS , PIANTA ERBACEA CON FOGLIE LOBATE E FIORI ROSEI.SE NE USANO LE FOGLIE E I FIORI PER INFUSO, COME EMOLLIENTE PERCHE' CONTIENE MUCILLAGGINI.;
092009_000558;VIA GOFFREDO MAMELI;LARGO CARLO FELICE - VIA N.SAURO;12;10/05/1915;C.C.;POETA POPOLARE GENOVESE, AUTORE DELL'INNO FRATELLI D' ITALIA.(NATO A GENOVA NEL 1827 - MORTO A ROMA NEL 1849).;
092009_000559;VIA PASQUALE STANISLAO MANCINI;VIA CARLO FADDA - (chiuso);2666;13/09/1971;G.M.;PATRIOTA, AVVOCATO E GIURISTA.(NATO NEL 1817 - MORTO NEL 1889).;
092009_000560;VIA MANDROLISAI;VIA EMILIA - (chiuso);2365;21/09/1961;G.M.;LOCALITA' DELLA SARDEGNA IN PROVINCIA DI NUORO.;
092009_000561;VIA GIUSEPPE MANNO;PIAZZA MARTIRI - PIAZZA YENNE;;;;GIA' VIA SA COSTA DE IS FERRERIS XV SEC. (LA COSTA DEI FABBRI) STATISTA ALGHERESE, PRESIDENTE DEL SENATO A TORINO, DELLA CORTE DI CASSAZIONE E MINISTRO.HA LASCIATO VARIE OPERE DI CARATTERE LETTERARIO E AUTOBIOGRAFICO: DEI VIZI DEI LETTERATI - LA FORTUNA DELLE PAROLE - LA FORTUNA DELLE FRASI - INNI SACRI - RICORDI DI UN COLLEGIALE - NOTE SARDE .LA SUA OPERA PRINCIPALE E' STORIA DI SARDEGNA .(NATO AD ALGHERO NEL 1786 - MORTO A TORINO NEL 1868).;
092009_000562;VIA ALESSANDRO MANZONI;PIAZZA S. BENEDETTO - VIA BACAREDDA;219;03/12/1925;C.P.;ROMANZIERE. (NATO A MILANO NEL 1785 - MORTO NEL 1873).;
092009_000563;VIA MARA;VIA SINNAI - (chiuso);83;27/12/1956;C.C.;COMUNE DELLA SARDEGNA IN PROVINCIA DI SASSARI.;
092009_000564;VIA MARCHE;PIAZZA KENNEDY - VIA BACAREDDA;219;03/12/1925;C.P.;REGIONE DELL' ITALIA CENTRALE.;
092009_000565;PIAZZA MAREMMA;VIA ROMAGNA - VIA LIGURIA;131;29/01/1980;G.M.;LOCALITA' PALUDOSA DELLA TOSCANA.;
092009_000566;VIA MARENGO;PIAZZA D'ARMI - VIA PESCHIERA;;;;FRAZIONE DEL COMUNE DI ALESSANDRIA. LOCALITA' DI BATTAGLIA NEL 1800.;
092009_000567;VIA MARGHINE;VIA LA NURRA - VIA QUIRRA;2365;21/09/1961;G.M.;LOCALITA' DELLA SARDEGNA SETTENTRIONALE.;
092009_000568;PIAZZA GIOVANNI MARGHINOTTI;VIALE REGINA ELENA - VIA SAN GIOVANNI;;;;PITTORE.(NATO A CAGLIARI NEL 1798 - MORTO A CAGLIARI NEL 1865).;
092009_000569;PORTICO MARIA CRISTINA;PIAZZA ARSENALE - VIALE BUON CAMMINO;;;;REGINA DI SPAGNA.(NATA NEL 1829 - MORTA NEL 1878).;
092009_000570;VIA MARINA PICCOLA;VIALE POETTO - (PORTO TURISTICO);2303;05/07/1968;G.M.;DENOMINAZIONE TRADIZIONALE.;
092009_000571;VIA EFISIO MARINI;VIA PALOMBA - VIA SCANO;327;26/02/1955;G.M.;MEDICO.(NATO A CAGLIARI NEL 1815 - MORTO NEL 1900).;
092009_000572;VIA MARMILLA;VIA BALILLA - VIA ENRICO TOTI;1429;25/09/1951;G.M.;LOCALITA' DELLA SARDEGNA.;
092009_000573;VIA MARNA;VIA CASTELLI - (chiuso);276;27/01/1984;G.M.;FIUME FRANCESE TEATRO DI BATTAGLIE NELLA GUERRA 1915/18.;
092009_000574;VIA PIETRO MARONCELLI;VIA MURAT - VIA POERIO;2365;21/09/1961;G.M.;PATRIOTA COLTO E GENEROSO.(NATO A FORLI' NEL 1795 - MORTO A NEW YORK NEL 1846).;
092009_000575;PIAZZA MARSIGLIA;VIA ZAGABRIA - VIA COSTANTINOPOLI;2474;09/09/1981;G.M.;GIA' VIA MARSIGLIA (DELIB. N.1706 14/05/75)CITTA' E PORTO DELLA FRANCIA. FONDATA DAI FENICI NEL 901 A.C.;
092009_000576;VIA PIETRO MARTINI;PIAZZA PALAZZO - PIAZZA INDIPENDENZA;;;;GIA' VIA DEI FERRAI. ( RUGA FABBRORUM) GIA' CONTRADA SANTA LUCIA.STORICO. .(NATO A CAGLIARI NEL 1800 - MORTO A CAGLIARI NEL 1866).;
092009_000577;PIAZZA MARTIRI D'ITALIA;VIA TORINO - PIAZZA COSTITUZIONE;0;16/11/1891;C.C.;GIA' PIAZZETTA PORTA VILLANOVA. INTITOLATA A CHI DA LA VITA E SOFFRE PER UNA CAUSA.;
092009_000578;VIA MARZABOTTO;VIA DEI PARTIGIANI - PIAZZA M. D'AZEGLIO;2666;13/09/1971;G.M.;LOCALITA' NELLA VALLE DEL RENO IN PROVINCIA DI BOLOGNA OVE FURONO SCOPERTI RESTI DI UNA CITTA' E NECROPOLI ETRUSCA.;
092009_000579;VIA MASACCIO;VIA CRESPELLANI - (chiuso);1706;14/05/1975;G.M.;CELEBRE PITTORE FIORENTINO.(NATO NEL 1401 - MORTO NEL 1443).;
092009_000580;VIA MASANIELLO;VIA SANTA MARIA CHIARA - VIA FRATELLI BANDIERA;83;27/12/1956;C.C.;CAPO DELL'INSURREZIONE POPOLARE NAPOLETANA. (NATO NEL 1623 - MORTO NEL 1647).;
092009_000581;VIA PIETRO MASCAGNI;VIA PONCHIELLI - VIA CANEPA;327;26/02/1955;G.M.;MUSICISTA. (NATO A LIVORNO NEL 1863 - MORT A ROMA NEL 1945).;
092009_000582;PIAZZA ANTONIO MAXIA;VIA DEGIOANNIS - VIA PESSINA;;;;;
